class,support,accuracy,mean_top1_prob,median_top1_prob,mean_true_class_prob,median_true_class_prob,mean_margin,median_margin,mean_entropy,median_entropy
33,10,1.0,0.9998586773872375,0.9998582601547241,0.9998586773872375,0.9998582601547241,0.9998308420181274,0.9998311996459961,0.001782426261343062,0.0017909943126142025
34,10,1.0,0.9990188479423523,0.9999045133590698,0.9990188479423523,0.9999045133590698,0.9984865188598633,0.9998847246170044,0.00782531127333641,0.0012485913466662169
35,10,1.0,0.9998990893363953,0.9999116063117981,0.9998990893363953,0.9999116063117981,0.9998823404312134,0.9998953342437744,0.0013445238582789898,0.001188978785648942
36,10,1.0,0.9998822212219238,0.9998890161514282,0.9998822212219238,0.9998890161514282,0.999849796295166,0.9998587369918823,0.0014604870229959488,0.0013898017350584269
37,10,1.0,0.9999309778213501,0.9999365210533142,0.9999309778213501,0.9999365210533142,0.9999171495437622,0.9999220371246338,0.0009499866282567382,0.0008828964782878757
38,10,1.0,0.999958336353302,0.999959409236908,0.999958336353302,0.999959409236908,0.9999481439590454,0.9999500513076782,0.0005739344633184373,0.0005619844887405634
39,10,1.0,0.9999380111694336,0.9999457597732544,0.9999380111694336,0.9999457597732544,0.99992835521698,0.9999388456344604,0.000851862714625895,0.0007547030691057444
40,10,1.0,0.9997121691703796,0.9997488856315613,0.9997121691703796,0.9997488856315613,0.9996369481086731,0.9996854066848755,0.003354641143232584,0.0029964041896164417
41,10,1.0,0.9794003367424011,0.9995536804199219,0.9794003367424011,0.9995536804199219,0.9616125226020813,0.9993886947631836,0.08213867992162704,0.004831215366721153
42,10,1.0,0.9999396204948425,0.9999414086341858,0.9999396204948425,0.9999414086341858,0.9999296069145203,0.9999327063560486,0.000822376343421638,0.0008040908724069595
43,10,1.0,0.9998432993888855,0.9998735785484314,0.9998432993888855,0.9998735785484314,0.9998218417167664,0.9998589754104614,0.002011573640629649,0.0016741885337978601
44,10,1.0,0.9998736381530762,0.9998745918273926,0.9998736381530762,0.9998745918273926,0.9998489618301392,0.9998527765274048,0.00160050462000072,0.0015941085293889046
45,10,1.0,0.9989597201347351,0.9997118711471558,0.9989597201347351,0.9997118711471558,0.9979763031005859,0.9994614124298096,0.007414884865283966,0.002840271685272455
