true_class,rank,soft_neighbor_class,mean_probability
13,5,4,6.302766450971831e-06
14,1,80,9.307294021709822e-06
14,2,1,6.648580892942846e-06
14,3,38,5.945837528997799e-06
14,4,74,3.879464202327654e-06
14,5,73,3.6053056646778714e-06
15,1,91,0.030447592958807945
15,2,34,0.0029748384840786457
15,3,84,0.002552998950704932
15,4,94,0.0025411280803382397
15,5,98,0.0015942251775413752
16,1,39,2.8429387384676374e-05
16,2,50,2.5364774046465755e-05
16,3,65,2.293983197887428e-05
16,4,48,1.2834263543481939e-05
16,5,97,1.1810440810222644e-05
17,1,26,2.443109406158328e-05
17,2,21,2.2325190002447926e-05
17,3,88,1.891065221570898e-05
17,4,43,1.3302580555318855e-05
17,5,50,1.0555913831922226e-05
18,1,28,9.78399402811192e-05
18,2,41,8.242407056968659e-05
18,3,27,1.965945375559386e-05
18,4,40,1.6110760043375194e-05
18,5,56,1.3986954400024842e-05
19,1,95,3.1759114790474996e-05
19,2,18,4.48784794571111e-06
19,3,66,4.380212885735091e-06
19,4,38,3.074187361562508e-06
19,5,76,2.975709094243939e-06
20,1,68,6.131213012849912e-05
20,2,96,4.038883707835339e-05
20,3,5,3.997177554992959e-05
20,4,70,1.5796127627254464e-05
20,5,42,1.2039379726047628e-05
21,1,17,4.5386717829387635e-05
21,2,47,2.2017989977030084e-05
21,3,10,1.1353277841408271e-05
21,4,50,1.0485715392860584e-05
21,5,86,7.786973583279178e-06
22,1,23,0.5048802495002747
22,2,99,7.118521170923486e-05
22,3,86,3.648846904980019e-05
22,4,4,2.922987550846301e-05
22,5,34,2.7137779397889972e-05
23,1,22,0.5017632246017456
23,2,99,6.924867921043187e-05
23,3,86,3.3192809496540576e-05
23,4,34,2.6929221348837018e-05
23,5,40,2.1799947717227042e-05
24,1,74,1.6067493561422452e-05
24,2,8,1.477553178119706e-05
24,3,77,1.0081357686431147e-05
24,4,97,9.288215551350731e-06
24,5,37,4.6331620069395285e-06
25,1,78,1.4321206435852218e-05
25,2,58,1.4034005289431661e-05
25,3,11,1.0321399713575374e-05
25,4,49,1.002833141683368e-05
25,5,13,9.672608030086849e-06
26,1,5,2.3735554350423627e-05
26,2,42,2.312813012395054e-05
26,3,17,1.8895123503170907e-05
26,4,79,1.2447211702237837e-05
26,5,59,1.1792234545282554e-05
27,1,28,0.06533120572566986
27,2,18,0.01995440199971199
27,3,12,0.0007353487308137119
27,4,84,0.0003469779039733112
27,5,56,0.0002328522241441533
28,1,99,0.02466711960732937
28,2,18,0.020441219210624695
28,3,27,0.006950834300369024
28,4,22,0.006801019422709942
28,5,75,0.003380242735147476
29,1,60,0.058756954967975616
29,2,80,0.003612972330302
29,3,51,0.0025286145973950624
29,4,24,0.0002896806108765304
29,5,96,0.00017711946566123515
30,1,32,0.00043835066026076674
30,2,52,0.00011342993093421683
30,3,97,2.8630438464460894e-05
30,4,0,2.6183410227531567e-05
30,5,1,1.6323827367159538e-05
31,1,97,8.862711183610372e-06
31,2,39,8.243730007961858e-06
31,3,36,3.87043883165461e-06
31,4,11,3.7897302718192805e-06
31,5,62,3.6497403925750405e-06
32,1,46,0.0002880073734559119
32,2,30,8.309991972055286e-05
32,3,1,3.2328876841347665e-05
32,4,74,1.2925590453960467e-05
32,5,12,1.1430243830545805e-05
33,1,85,2.678738019312732e-05
33,2,3,2.3554379367851652e-05
33,3,96,1.9635735952761024e-05
33,4,51,8.423556209891103e-06
33,5,54,7.428719072777312e-06
34,1,98,0.0005133288213983178
34,2,65,0.00014546571765094995
34,3,94,5.038745439378545e-05
34,4,87,3.983711576438509e-05
34,5,84,3.179377381457016e-05
35,1,64,1.640340269659646e-05
35,2,43,1.1716151675500441e-05
35,3,21,9.15381133381743e-06
35,4,82,8.816595254756976e-06
35,5,71,4.530290425464045e-06
36,1,66,3.060804374399595e-05
36,2,76,2.6894244001596235e-05
36,3,91,2.3184344172477722e-05
36,4,62,7.655189619981684e-06
36,5,82,2.248516921099508e-06
37,1,18,1.3907301763538271e-05
37,2,1,4.948949936078861e-06
37,3,34,4.825588803214487e-06
37,4,47,3.5683569876709953e-06
37,5,98,3.1016454613563837e-06
38,1,66,9.826950190472417e-06
38,2,74,6.072374162613414e-06
38,3,19,4.258077751728706e-06
38,4,1,3.826143256446812e-06
38,5,24,2.636736553540686e-06
39,1,1,9.428013981960248e-06
39,2,75,6.793064585508546e-06
39,3,69,5.514512849913444e-06
39,4,36,5.329838586476399e-06
39,5,31,3.458793344179867e-06
40,1,18,7.11087923264131e-05
40,2,91,4.9467820645077154e-05
40,3,36,4.457312752492726e-05
40,4,22,2.000060339923948e-05
40,5,39,1.260988756257575e-05
41,1,18,0.010061591863632202
41,2,27,0.008957406505942345
41,3,28,0.00033856331720016897
41,4,94,0.0002634610573295504
41,5,84,0.00023825897369533777
42,1,65,1.0062534784083255e-05
42,2,63,6.491179192380514e-06
42,3,26,6.436701369239017e-06
42,4,15,6.256769211177016e-06
42,5,79,5.898308700125199e-06
43,1,17,1.712969060463365e-05
