class,support,embedding_spread_mean,embedding_spread_median,embedding_spread_p90,nearest_euclidean_class,nearest_euclidean_distance,nearest_cosine_class,nearest_cosine_distance,separability_euclidean
82,10,1.5607625246047974,1.3657371997833252,2.1227239131927482,74,20.329207242399328,46,0.36209439814197386,13.02517642621315
83,10,3.0829644203186035,2.840829372406006,4.083988237380981,20,18.864315113929973,81,0.46889147378645335,6.118888362643015
84,10,3.1195130348205566,2.4267849922180176,3.9412853240966776,94,1.4719932672282234,94,0.0020771698842594333,0.471866362088433
85,10,1.6975548267364502,1.0605047941207886,2.312836098670958,6,20.59128520089296,6,0.485476153408552,12.12996769033947
86,10,2.3819634914398193,2.404754161834717,2.84173743724823,21,19.634045124911903,66,0.5092840781698389,8.24279851285368
87,10,1.180147409439087,0.8576982021331787,1.7638533234596248,99,20.220249408637542,99,0.4668284707308651,17.133664190516708
88,10,0.7283574938774109,0.6229672431945801,1.162447166442871,69,19.953401716262402,69,0.501247911200443,27.395066137152615
89,10,1.8144385814666748,1.3543275594711304,3.0926760196685787,0,21.004364509725974,0,0.4606490694123311,11.576233400387355
90,10,3.2567031383514404,3.2700893878936768,3.850050139427185,1,20.439500216098057,1,0.43442816670641604,6.276132440626638
91,10,1.8897221088409424,1.5728437900543213,3.2595191478729246,40,20.54140328889806,40,0.5042899891242407,10.870065600014117
92,10,2.5139832496643066,2.6635420322418213,2.993205761909485,40,19.336169486754116,40,0.47473305856306225,7.691447223976565
93,10,2.0781102180480957,1.9006619453430176,2.9951619863510133,70,18.613603513662593,70,0.47547624346466666,8.956985703648467
94,10,2.3455865383148193,2.3404784202575684,3.405671405792236,84,1.4719932672282234,84,0.0020771698842594333,0.6275587121529838
95,10,2.7728755474090576,2.2742104530334473,4.0142671108245835,19,19.931363369080167,19,0.46069313355664243,7.187976174301728
96,10,4.077418804168701,3.32366943359375,5.079698801040647,20,18.897430627318254,20,0.4660282177540248,4.634655289272164
97,10,3.1736788749694824,2.7714200019836426,4.273103141784667,8,21.96870211586692,8,0.49681102561480706,6.922156582738121
98,10,2.318118095397949,1.950697898864746,3.2372061252593984,15,17.031398617531764,15,0.3348984339925235,7.347079793451161
99,10,2.0007970333099365,1.9503569602966309,2.4992837429046624,87,20.220249408637542,87,0.4668284707308651,10.106097256245429
